item_id,city,quality,sell_price_min,sell_price_min_date,sell_price_max,sell_price_max_date,buy_price_min,buy_price_min_date,buy_price_max,buy_price_max_date
,,,,,,,,,,
T4_CLOTH,Bridgewatch,1,187,2023-09-26T19:35:00,220,2023-09-26T19:35:00,1,2023-09-26T18:40:00,172,2023-09-26T18:40:00
T4_CLOTH,Fort Sterling,1,191,2023-09-26T21:55:00,195,2023-09-26T21:55:00,3,2023-09-26T21:55:00,170,2023-09-26T21:55:00
T4_CLOTH,Lymhurst,1,171,2023-09-26T23:50:00,207,2023-09-26T23:50:00,1,2023-09-26T23:50:00,163,2023-09-26T23:50:00
T4_CLOTH,Martlock,1,188,2023-09-26T19:50:00,202,2023-09-26T19:50:00,1,2023-09-26T19:50:00,180,2023-09-26T19:50:00
T4_CLOTH,Thetford,1,165,2023-09-26T22:00:00,199,2023-09-26T22:00:00,3,2023-09-26T18:55:00,147,2023-09-26T18:55:00
T4_CLOTH_LEVEL1@1,Bridgewatch,1,370,2023-09-26T22:00:00,400,2023-09-26T22:00:00,3,2023-09-26T22:00:00,324,2023-09-26T22:00:00
T4_CLOTH_LEVEL1@1,Fort Sterling,1,429,2023-09-26T18:45:00,442,2023-09-26T18:45:00,3,2023-09-26T18:45:00,316,2023-09-26T18:45:00
T4_CLOTH_LEVEL1@1,Lymhurst,1,355,2023-09-26T22:10:00,465,2023-09-26T22:10:00,1,2023-09-26T22:10:00,321,2023-09-26T22:10:00
T4_CLOTH_LEVEL1@1,Martlock,1,456,2023-09-27T00:10:00,457,2023-09-27T00:10:00,1,2023-09-27T00:10:00,332,2023-09-27T00:10:00
T4_CLOTH_LEVEL1@1,Thetford,1,409,2023-09-26T18:55:00,1057,2023-09-26T18:55:00,3,2023-09-26T18:55:00,305,2023-09-26T18:55:00
T4_CLOTH_LEVEL2@2,Bridgewatch,1,1815,2023-09-26T12:50:00,16380,2023-09-26T12:50:00,3,2023-09-26T12:55:00,1452,2023-09-26T12:55:00
T4_CLOTH_LEVEL2@2,Fort Sterling,1,1464,2023-09-26T20:35:00,1668,2023-09-26T20:35:00,3,2023-09-26T17:05:00,1367,2023-09-26T17:05:00
T4_CLOTH_LEVEL2@2,Lymhurst,1,1464,2023-09-26T20:40:00,1464,2023-09-26T20:40:00,3,2023-09-26T20:35:00,1335,2023-09-26T20:35:00
T4_CLOTH_LEVEL2@2,Martlock,1,1832,2023-09-27T00:10:00,2232,2023-09-27T00:10:00,1,2023-09-27T00:10:00,1603,2023-09-27T00:10:00
T4_CLOTH_LEVEL2@2,Thetford,1,1591,2023-09-26T20:30:00,2100,2023-09-26T20:30:00,3,2023-09-26T13:00:00,1379,2023-09-26T13:00:00
T4_CLOTH_LEVEL3@3,Bridgewatch,1,8444,2023-09-26T12:55:00,9998,2023-09-26T12:55:00,3,2023-09-26T12:50:00,6821,2023-09-26T12:50:00
T4_CLOTH_LEVEL3@3,Fort Sterling,1,7999,2023-09-26T20:35:00,8821,2023-09-26T20:35:00,3,2023-09-26T18:55:00,6850,2023-09-26T18:55:00
T4_CLOTH_LEVEL3@3,Lymhurst,1,8298,2023-09-26T20:40:00,8730,2023-09-26T20:40:00,3,2023-09-26T20:00:00,7676,2023-09-26T20:00:00
T4_CLOTH_LEVEL3@3,Martlock,1,8197,2023-09-27T00:10:00,9917,2023-09-27T00:10:00,3,2023-09-27T00:10:00,8000,2023-09-27T00:10:00
T4_CLOTH_LEVEL3@3,Thetford,1,8346,2023-09-26T23:10:00,8736,2023-09-26T23:10:00,3,2023-09-26T23:10:00,6925,2023-09-26T23:10:00
T4_CLOTH_LEVEL4@4,Bridgewatch,1,36992,2023-09-26T20:45:00,44000,2023-09-26T20:45:00,3,2023-09-26T12:55:00,27004,2023-09-26T12:55:00
T4_CLOTH_LEVEL4@4,Fort Sterling,1,38989,2023-09-26T18:45:00,38999,2023-09-26T18:45:00,3,2023-09-26T18:45:00,25135,2023-09-26T18:45:00
T4_CLOTH_LEVEL4@4,Lymhurst,1,35490,2023-09-26T18:50:00,40000,2023-09-26T18:50:00,3,2023-09-26T18:50:00,25510,2023-09-26T18:50:00
T4_CLOTH_LEVEL4@4,Martlock,1,59900,2023-09-26T21:20:00,59900,2023-09-26T21:20:00,3,2023-09-26T18:55:00,30001,2023-09-26T18:55:00
T4_CLOTH_LEVEL4@4,Thetford,1,36960,2023-09-26T18:35:00,37985,2023-09-26T18:35:00,3,2023-09-26T18:35:00,25555,2023-09-26T18:35:00
T4_FIBER,Bridgewatch,1,67,2023-09-26T20:25:00,87,2023-09-26T20:25:00,1,2023-09-26T20:25:00,66,2023-09-26T20:25:00
T4_FIBER,Fort Sterling,1,69,2023-09-26T18:05:00,110,2023-09-26T18:05:00,3,2023-09-26T12:15:00,63,2023-09-26T12:15:00
T4_FIBER,Lymhurst,1,69,2023-09-26T22:45:00,90,2023-09-26T22:45:00,3,2023-09-26T22:45:00,67,2023-09-26T22:45:00
T4_FIBER,Martlock,1,61,2023-09-26T19:55:00,61,2023-09-26T19:55:00,1,2023-09-26T12:55:00,53,2023-09-26T12:55:00
T4_FIBER,Thetford,1,60,2023-09-27T00:00:00,65,2023-09-27T00:00:00,34,2023-09-27T00:00:00,58,2023-09-27T00:00:00
T4_FIBER_LEVEL1@1,Bridgewatch,1,188,2023-09-26T19:55:00,188,2023-09-26T19:55:00,1,2023-09-26T18:55:00,180,2023-09-26T18:55:00
T4_FIBER_LEVEL1@1,Fort Sterling,1,193,2023-09-26T18:05:00,8998,2023-09-26T18:05:00,3,2023-09-26T16:55:00,190,2023-09-26T16:55:00
T4_FIBER_LEVEL1@1,Lymhurst,1,196,2023-09-26T22:45:00,227,2023-09-26T22:45:00,3,2023-09-26T22:45:00,190,2023-09-26T22:45:00
T4_FIBER_LEVEL1@1,Martlock,1,173,2023-09-26T12:55:00,183,2023-09-26T12:55:00,1,2023-09-26T12:55:00,172,2023-09-26T12:55:00
T4_FIBER_LEVEL1@1,Thetford,1,178,2023-09-26T17:50:00,187,2023-09-26T17:50:00,3,2023-09-26T13:00:00,168,2023-09-26T13:00:00
T4_FIBER_LEVEL2@2,Bridgewatch,1,1011,2023-09-26T17:15:00,1032,2023-09-26T17:15:00,1,2023-09-26T17:20:00,1010,2023-09-26T17:20:00
T4_FIBER_LEVEL2@2,Fort Sterling,1,1098,2023-09-26T14:25:00,1145,2023-09-26T14:25:00,1097,2023-09-26T14:25:00,1097,2023-09-26T14:25:00
T4_FIBER_LEVEL2@2,Lymhurst,1,1072,2023-09-26T19:55:00,1085,2023-09-26T19:55:00,3,2023-09-26T19:55:00,1071,2023-09-26T19:55:00
